rank,severity,rule,site_id,file,line,function,c_symbol,summary,evidence_json,recommendation
1,medium,small-call-detector,65c8963533,callback.go,193,newHandle,malloc,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 59.7, ""boundary_ratio"": ""unknown"", ""call_count"": 51531, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
2,medium,small-call-detector,4824e3bc4e,callback.go,224,deleteHandles,free,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 67.9, ""boundary_ratio"": ""unknown"", ""call_count"": 51456, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
3,medium,small-call-detector,2367198b76,sqlite3.go,826,Version,CString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 70.1, ""boundary_ratio"": ""unknown"", ""call_count"": 51523, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
4,medium,conversion-copy-detector,2367198b76,sqlite3.go,826,Version,CString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 51523, ""conversion_bytes"": 762457, ""conversion_count"": 51523, ""free_count"": 51523, ""malloc_count"": 51523, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
5,medium,small-call-detector,f600541940,sqlite3.go,832,Version,free,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 80.1, ""boundary_ratio"": ""unknown"", ""call_count"": 51523, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
6,medium,small-call-detector,3d98770d67,sqlite3.go,848,sqlite3CreateFunction,_sqlite3_create_function,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 183.3, ""boundary_ratio"": ""unknown"", ""call_count"": 51525, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
7,medium,small-call-detector,625f108886,sqlite3.go,1105,lastError,CString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 110.8, ""boundary_ratio"": ""unknown"", ""call_count"": 1197, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
8,medium,conversion-copy-detector,625f108886,sqlite3.go,1105,lastError,CString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 1197, ""conversion_bytes"": 17530, ""conversion_count"": 1197, ""free_count"": 1197, ""malloc_count"": 1197, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
9,medium,small-call-detector,ed242be7f6,sqlite3.go,1110,lastError,_sqlite3_exec_no_args,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 17806.1, ""boundary_ratio"": ""unknown"", ""call_count"": 1197, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
10,medium,small-call-detector,6c3b16d491,sqlite3.go,1124,lastError,free,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 84.3, ""boundary_ratio"": ""unknown"", ""call_count"": 1197, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
11,medium,small-call-detector,96c3c576e9,sqlite3.go,1302,lastError,sqlite3_threadsafe,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 79.0, ""boundary_ratio"": ""unknown"", ""call_count"": 10306, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
12,medium,small-call-detector,765d6f349a,sqlite3.go,1699,lastError,CString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 120.9, ""boundary_ratio"": ""unknown"", ""call_count"": 10305, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
13,medium,conversion-copy-detector,765d6f349a,sqlite3.go,1699,lastError,CString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 10305, ""conversion_bytes"": 781454, ""conversion_count"": 10305, ""free_count"": 10305, ""malloc_count"": 10305, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
14,medium,small-call-detector,e4a7e0dd10,sqlite3.go,1705,lastError,free,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 89.2, ""boundary_ratio"": ""unknown"", ""call_count"": 10305, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
15,medium,small-call-detector,9931e9a822,sqlite3.go,1725,lastError,_sqlite3_open_v2,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 27787.1, ""boundary_ratio"": ""unknown"", ""call_count"": 10305, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
16,medium,small-call-detector,01e1c8dc50,sqlite3.go,2090,lastError,sqlite3_close_v2,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 5232.2, ""boundary_ratio"": ""unknown"", ""call_count"": 10287, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
17,medium,small-call-detector,18a9fe4558,sqlite3.go,2206,finalizeCachedStmt,CString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 105.5, ""boundary_ratio"": ""unknown"", ""call_count"": 63070, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
18,medium,conversion-copy-detector,18a9fe4558,sqlite3.go,2206,finalizeCachedStmt,CString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 63070, ""conversion_bytes"": 2395022, ""conversion_count"": 63070, ""free_count"": 63070, ""malloc_count"": 63070, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
19,medium,small-call-detector,d59d77ce6f,sqlite3.go,2212,finalizeCachedStmt,free,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 108.2, ""boundary_ratio"": ""unknown"", ""call_count"": 63070, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
20,medium,small-call-detector,fd8e87bea7,sqlite3.go,2219,finalizeCachedStmt,_sqlite3_prepare_v2_internal,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 1328.2, ""boundary_ratio"": ""unknown"", ""call_count"": 63070, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
21,medium,small-call-detector,a588f9646e,sqlite3.go,2423,finalizeCachedStmt,sqlite3_finalize,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 440.4, ""boundary_ratio"": ""unknown"", ""call_count"": 63053, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
22,medium,small-call-detector,8b3d601ccd,sqlite3.go,2435,finalizeCachedStmt,sqlite3_bind_parameter_count,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 55.3, ""boundary_ratio"": ""unknown"", ""call_count"": 63234, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
23,medium,small-call-detector,0fff59e08a,sqlite3.go,2451,bindText,_sqlite3_bind_text,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 68.2, ""boundary_ratio"": ""unknown"", ""call_count"": 11586, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
24,medium,small-call-detector,24af8d6f0b,sqlite3.go,2467,bindValue,sqlite3_bind_int64,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 65.1, ""boundary_ratio"": ""unknown"", ""call_count"": 10656, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
25,medium,small-call-detector,212c04db36,sqlite3.go,2580,stmtArgs,_sqlite3_reset_clear,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 93.8, ""boundary_ratio"": ""unknown"", ""call_count"": 63234, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
26,medium,small-call-detector,da24077fea,sqlite3.go,2651,stmtArgs,malloc,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 99.3, ""boundary_ratio"": ""unknown"", ""call_count"": 60383, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
27,medium,pointer-check-overhead-detector,da24077fea,sqlite3.go,2651,stmtArgs,malloc,cgo pointer checking is a visible part of the cross-language cost.,"{""estimated_ratio"": 0.335, ""pointer_check_count"": 60383, ""pointer_check_ms"": 3.019}","Audit whether the C function stores Go pointers or calls back into Go. If the cgo safety contract holds, consider #cgo noescape or reducing pointer passing."
28,medium,small-call-detector,f6d288b9bf,sqlite3.go,2720,isInterruptErr,sqlite3_interrupt,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 47.6, ""boundary_ratio"": ""unknown"", ""call_count"": 1001, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
29,medium,blocking-cgo-detector,3995321bec,sqlite3.go,2745,isInterruptErr,_sqlite3_step_row_internal,Long-running cgo calls can hold an OS thread and reduce Go scheduler flexibility.,"{""avg_cgo_ms"": 0.294, ""call_count"": 2851, ""scheduler_block_ms"": 458.156, ""total_cgo_ms"": 838.566}","Move blocking waits to Go when possible, use asynchronous/nonblocking C APIs, or bound concurrency around this cgo call."
30,medium,small-call-detector,778b508ad6,sqlite3.go,2790,isInterruptErr,free,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 114.1, ""boundary_ratio"": ""unknown"", ""call_count"": 60374, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
31,medium,small-call-detector,25cc82ac3b,sqlite3.go,2826,isInterruptErr,sqlite3_column_name,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 88.2, ""boundary_ratio"": ""unknown"", ""call_count"": 60402, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
32,medium,small-call-detector,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 258.3, ""boundary_ratio"": ""unknown"", ""call_count"": 60402, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
33,medium,conversion-copy-detector,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 60402, ""conversion_bytes"": 0, ""conversion_count"": 60402, ""free_count"": 0, ""malloc_count"": 0, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
34,medium,inbound-copy-detector,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,C-to-Go string or byte conversion repeatedly copies native data into Go memory.,"{""call_count"": 60402, ""inbound_conversion_bytes"": 0, ""inbound_conversion_count"": 60402}","Avoid materializing Go strings/bytes on every call; cache immutable metadata, return lightweight handles, or batch native-to-Go decoding."
35,medium,small-call-detector,7c53d39812,sqlite3.go,2843,isInterruptErr,sqlite3_column_decltype,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 97.1, ""boundary_ratio"": ""unknown"", ""call_count"": 60400, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
36,medium,small-call-detector,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 337.6, ""boundary_ratio"": ""unknown"", ""call_count"": 60400, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
37,medium,conversion-copy-detector,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 60400, ""conversion_bytes"": 0, ""conversion_count"": 60400, ""free_count"": 0, ""malloc_count"": 0, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
38,medium,inbound-copy-detector,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,C-to-Go string or byte conversion repeatedly copies native data into Go memory.,"{""call_count"": 60400, ""inbound_conversion_bytes"": 0, ""inbound_conversion_count"": 60400}","Avoid materializing Go strings/bytes on every call; cache immutable metadata, return lightweight handles, or batch native-to-Go decoding."
39,medium,small-call-detector,d828f83e98,sqlite3.go,2898,isInterruptErr,sqlite3_interrupt,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 70.1, ""boundary_ratio"": ""unknown"", ""call_count"": 20000, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
40,medium,small-call-detector,7f9abaef1c,sqlite3.go,2912,isInterruptErr,_sqlite3_step_internal,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 4614.8, ""boundary_ratio"": ""unknown"", ""call_count"": 90518, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
41,medium,small-call-detector,b0d22a4c6f,sqlite3.go,2934,isInterruptErr,_sqlite3_column_values,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 117.5, ""boundary_ratio"": ""unknown"", ""call_count"": 60498, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
42,medium,small-call-detector,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,High-frequency small cgo calls spend a large share of time crossing the Go/C boundary.,"{""avg_cgo_ns"": 697.8, ""boundary_ratio"": ""unknown"", ""call_count"": 30431, ""reason"": ""high-frequency cgo calls with very small measured total latency""}",Batch work across the cgo boundary or move the loop entirely to Go or C.
43,medium,conversion-copy-detector,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,Repeated Go/C data conversion or memory copying appears on this cgo path.,"{""call_count"": 30431, ""conversion_bytes"": 65880, ""conversion_count"": 30431, ""free_count"": 0, ""malloc_count"": 0, ""memcpy_bytes"": 0, ""memcpy_count"": 0}","Reuse C buffers, cache stable C strings, pass explicit lengths, or batch conversions."
44,medium,inbound-copy-detector,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,C-to-Go string or byte conversion repeatedly copies native data into Go memory.,"{""call_count"": 30431, ""inbound_conversion_bytes"": 65880, ""inbound_conversion_count"": 30431}","Avoid materializing Go strings/bytes on every call; cache immutable metadata, return lightweight handles, or batch native-to-Go decoding."
